chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
MRNA,2025-06-27,24.0000,put,buy,2025-06-24T14:24:17.627578Z,debit,1.00000,limit,,short_put,0.04000000,1.00000
SMCI,2025-06-27,41.5000,put,sell,2025-06-23T14:17:16.812881Z,credit,1.00000,limit,short_put,,0.70000000,1.00000
SPY,2025-06-20,588.0000,put,sell,2025-06-20T18:34:58.437079Z,debit,1.00000,limit,,short_put_spread,0.03000000,1.00000
SPY,2025-06-20,590.0000,put,buy,2025-06-20T18:34:58.437079Z,debit,1.00000,limit,,short_put_spread,0.03000000,1.00000
GOOGL,2025-07-18,160.0000,put,buy,2025-06-20T16:35:36.393401Z,credit,1.00000,limit,short_put_spread,,1.27000000,1.00000
GOOGL,2025-07-18,165.0000,put,sell,2025-06-20T16:35:36.393401Z,credit,1.00000,limit,short_put_spread,,1.27000000,1.00000
MP,2025-06-27,35.0000,put,buy,2025-06-20T14:37:16.926265Z,debit,1.00000,limit,,short_put,0.80000000,1.00000
MP,2025-06-27,35.0000,put,sell,2025-06-20T14:21:52.515184Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
MRNA,2025-06-27,24.0000,put,sell,2025-06-18T17:14:35.766293Z,credit,1.00000,limit,short_put,,0.34000000,1.00000
SMCI,2025-06-20,41.5000,put,buy,2025-06-18T17:13:27.476253Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
RGTI,2025-06-20,12.5000,call,buy,2025-06-18T17:12:51.192023Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
LUNR,2025-06-20,10.0000,put,sell,2025-06-18T13:58:07.393963Z,credit,1.00000,limit,short_put,,0.12000000,1.00000
SPY,2025-06-20,590.0000,put,sell,2025-06-17T15:45:58.047997Z,credit,1.00000,limit,short_put_spread,,0.24000000,1.00000
SPY,2025-06-20,588.0000,put,buy,2025-06-17T15:45:58.047997Z,credit,1.00000,limit,short_put_spread,,0.24000000,1.00000
INTC,2025-06-20,20.0000,put,buy,2025-06-17T14:58:47.165765Z,debit,1.00000,limit,,short_put,0.08000000,1.00000
RGTI,2025-06-13,12.5000,call,buy,2025-06-13T15:09:18.276494Z,credit,1.00000,limit,short_call,short_call,0.30000000,1.00000
RGTI,2025-06-20,12.5000,call,sell,2025-06-13T15:09:18.276494Z,credit,1.00000,limit,short_call,short_call,0.30000000,1.00000
INTC,2025-06-20,20.0000,put,sell,2025-06-12T14:15:08.715496Z,credit,1.00000,limit,short_put,,0.28000000,1.00000
SMCI,2025-06-20,41.5000,put,sell,2025-06-12T14:14:56.679850Z,credit,1.00000,limit,short_put,,0.72000000,1.00000
HIMS,2025-06-27,51.0000,put,buy,2025-06-12T13:58:06.715404Z,debit,1.00000,limit,,short_put,1.15000000,1.00000
HIMS,2025-06-27,51.0000,put,sell,2025-06-10T13:58:27.966631Z,credit,1.00000,limit,short_put,,1.79000000,1.00000
HOOD,2025-06-13,68.0000,put,buy,2025-06-10T13:35:51.575615Z,debit,1.00000,limit,,short_put,0.42000000,1.00000
HOOD,2025-06-13,68.0000,put,sell,2025-06-09T14:31:38.656853Z,credit,1.00000,limit,short_put,,1.21000000,1.00000
INTC,2025-06-13,19.5000,put,buy,2025-06-09T14:30:30.070416Z,debit,1.00000,limit,,short_put,0.06000000,1.00000
ACHR,2025-06-13,9.0000,put,buy,2025-06-09T13:33:07.328128Z,debit,1.00000,limit,,short_put,0.04000000,1.00000
MRNA,2025-06-13,25.0000,put,buy,2025-06-06T15:28:36.566322Z,debit,1.00000,limit,,short_put,0.22000000,1.00000
SOFI,2025-06-13,13.0000,put,buy,2025-06-06T15:27:11.612903Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
RGTI,2025-06-13,12.5000,call,sell,2025-06-06T15:20:32.233596Z,credit,1.00000,limit,short_call,,0.24000000,1.00000
RGTI,2025-06-06,12.5000,call,buy,2025-06-05T16:54:26.482364Z,debit,1.00000,limit,,short_call,0.02000000,1.00000
INTC,2025-06-13,19.5000,put,sell,2025-06-05T13:42:56.673444Z,credit,1.00000,limit,short_put,,0.20000000,1.00000
MRNA,2025-06-13,25.0000,put,sell,2025-06-05T13:41:16.543401Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
GOOGL,2026-03-20,130.0000,call,sell,2025-06-04T14:19:04.132652Z,credit,1.00000,limit,,long_call,46.00000000,1.00000
ACHR,2025-06-13,9.0000,put,sell,2025-06-04T13:42:30.474740Z,credit,1.00000,limit,short_put,,0.18000000,1.00000
SOFI,2025-06-13,13.0000,put,sell,2025-06-04T13:40:18.191697Z,credit,1.00000,limit,short_put,,0.22000000,1.00000
RGTI,2025-06-06,12.5000,call,sell,2025-06-02T18:38:27.197752Z,credit,1.00000,limit,short_call,,0.38000000,1.00000
RGTI,2025-05-30,12.5000,put,sell,2025-05-27T18:16:42.305101Z,credit,1.00000,limit,short_put,,0.15000000,1.00000
RGTI,2025-05-16,9.5000,put,buy,2025-05-14T13:33:36.523112Z,debit,1.00000,limit,,short_put,0.06000000,1.00000
RGTI,2025-05-16,9.5000,put,sell,2025-05-13T18:41:59.816752Z,credit,1.00000,limit,short_put,,0.21000000,1.00000
GOOGL,2026-03-20,130.0000,call,buy,2025-05-07T15:56:08.622667Z,debit,1.00000,limit,long_call,,35.00000000,1.00000
RDFN,2025-05-09,10.0000,call,buy,2025-05-07T14:28:26.169779Z,debit,1.00000,limit,,short_call,0.05000000,1.00000
RGTI,2025-05-09,9.0000,put,buy,2025-05-07T13:49:10.151114Z,debit,1.00000,limit,,short_put,0.15000000,1.00000
SOFI,2025-05-09,13.5000,call,buy,2025-05-07T13:48:23.580544Z,debit,1.00000,limit,,short_call,0.11000000,1.00000
SOFI,2025-05-09,13.5000,call,sell,2025-05-05T19:41:12.689096Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
RGTI,2025-05-09,9.0000,put,sell,2025-05-05T13:33:45.021586Z,credit,1.00000,limit,short_put,,0.18000000,1.00000
SOFI,2025-05-09,12.5000,put,sell,2025-04-29T18:35:43.516817Z,credit,1.00000,limit,,long_put,0.27000000,1.00000
SOFI,2025-05-09,12.5000,put,buy,2025-04-28T13:35:15.088107Z,debit,1.00000,limit,long_put,,0.65000000,1.00000
RDFN,2025-05-09,10.0000,call,sell,2025-04-28T13:34:31.088119Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
SOFI,2025-05-02,15.0000,call,sell,2025-04-23T13:30:53.939868Z,credit,1.00000,limit,short_call,,0.08000000,1.00000
RDFN,2025-04-25,10.0000,call,sell,2025-04-09T16:36:45.396822Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
SOFI,2025-04-11,13.5000,call,sell,2025-04-02T17:17:04.455757Z,credit,1.00000,limit,short_call,,0.15000000,1.00000
RDFN,2025-04-04,11.0000,call,sell,2025-04-02T13:56:50.943841Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
SOFI,2025-03-28,13.0000,call,sell,2025-03-17T15:29:10.403761Z,credit,1.00000,limit,short_call,,0.22000000,1.00000
RDFN,2025-03-28,11.0000,put,sell,2025-03-17T15:26:27.701750Z,credit,1.00000,limit,short_put,,0.20000000,1.00000
INTC,2025-03-14,19.5000,put,sell,2025-03-06T20:54:19.619547Z,credit,1.00000,limit,short_put,,0.32000000,1.00000
SOFI,2025-03-14,13.5000,put,sell,2025-03-03T17:08:10.329675Z,credit,1.00000,limit,short_put,,0.28000000,1.00000
SOFI,2025-03-07,13.5000,put,buy,2025-02-28T14:49:22.664521Z,debit,1.00000,limit,,short_put,0.27000000,1.00000
SOFI,2025-03-07,13.5000,put,sell,2025-02-28T14:33:06.806321Z,credit,1.00000,limit,short_put,,0.37000000,1.00000
MARA,2025-02-28,15.0000,put,sell,2025-02-18T16:24:46.395974Z,credit,1.00000,limit,short_put,,0.31000000,1.00000
MARA,2025-02-14,16.0000,put,sell,2025-02-06T17:13:58.462687Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
HUT,2025-02-07,19.0000,put,buy,2025-02-03T21:43:38.127842Z,debit,1.00000,limit,,short_put,0.19000000,1.00000
HUT,2025-02-07,19.0000,put,sell,2025-02-03T16:21:13.015146Z,credit,1.00000,limit,short_put,,0.39000000,1.00000
HUT,2025-02-07,16.5000,put,buy,2025-01-30T14:37:20.647373Z,debit,1.00000,limit,,short_put,0.15000000,1.00000
